Video Name	Word Count	Duration (s)	Sentence
0I9Ks-BPfDs_9-5-rgb_front.mp4	7	33.79	Ok, now our drain is hooked up.
0H60j0VxTaE_24-5-rgb_front.mp4	8	41.44	They have to pass the 4-inch overlap rule.
1IgRvp7atXE_9-5-rgb_front.mp4	8	45.23	This ones broken and crossing, out it comes.
1J-XWwbc53M_13-5-rgb_front.mp4	8	37.19	I really like using each of these products.
FJpeot48AYY_8-5-rgb_front.mp4	8	31.60	This is more of a costume material tail.
21GuMyj5bUw_4-5-rgb_front.mp4	9	72.36	The hook tender he's setting up all the roads.
0psMj0gsJjs_35-5-rgb_front.mp4	11	39.85	Um, where would I find these other than in this house?
-9zB8cv_WJk_4-8-rgb_front.mp4	12	47.03	So you may have to replace it with something close to it.
0Fs8a5vglXc_8-8-rgb_front.mp4	13	36.83	Hand underneath the knee, hand underneath the heel, and gently bring it in.
EA5TtaqpJ9w_7-4-rgb_front.mp4	13	38.44	Now, you have to have athletes in order to really run this defense.
08hX7LrGPZQ_10-5-rgb_front.mp4	18	34.58	So you can just see the difference between the two sides of her face, lighter coverage, fuller coverage.
1J-XWwbc53M_11-5-rgb_front.mp4	19	86.24	And they could be used for all different types of hair types, another one is Fiber by American Crew.
21GuMyj5bUw_13-5-rgb_front.mp4	19	30.48	And so I take the safety end of it as very good the way we're training our own people.
23LLbhn_Mjg_22-5-rgb_front.mp4	20	53.38	And my reason for that is just to get the boxes out of the central placed area of my house.
1xl3MOjKX84_5-8-rgb_front.mp4	21	45.69	We're going to have to have a pencil on hand and a scissors, along with a paintbrush for decorating the paddle.
20qFsdFD3io_13-8-rgb_front.mp4	21	46.60	So, when you're first starting out, you want to go ahead and use some soft, full nunchucks like these ones, okay.
5vSvXTHeD5I_1-8-rgb_front.mp4	21	32.59	The last piece is just always salt so we are going to salt it with a little bit of sea salt.
1LQrmzrtOKk_4-5-rgb_front.mp4	22	42.77	This is an air chisel; this is what's used to separate the old panel from the existing panels for a panel replacement.
1furuv5lJ4Q_5-8-rgb_front.mp4	23	48.39	And you want to scrub the buffer onto your skin and, yeah that's plenty, and go ahead and do that on your legs.
23LLbhn_Mjg_3-5-rgb_front.mp4	23	30.58	So, the order that I like to do things in is, the first thing I like to do is to place my furniture.
0tbwqARWKw8_26-4-rgb_front.mp4	25	32.22	The higher we can get, the more working clearance we're going to have down here once the wheel's removed to get access to the brakes.
C1qblYh-23I_12-5-rgb_front.mp4	25	30.11	Kind of move position, a little higher and a little lower until you completely relax the shoulder, open up that trapezi muscle, feels really good.
Fe3fHJM12gc_3-5-rgb_front.mp4	26	46.93	We apply this base paint over the entire image, but just know that you'll still see some of the colors, but it will be less accentuated.
0ot_-8n4zNk_3-5-rgb_front.mp4	28	39.39	You can probably put some and hand toiletry things is here or find some silk plants and put them in, just an easy way to decorate your house.
1P0nCPuAqQU_3-8-rgb_front.mp4	28	31.22	Alright see that is still pretty thick in there and that is what we want and we have got enough area here to get us a nice stringer.
